Date|IND1 Households and NPISH (S.14+S.15) - consumer credit,  loans for house purchase and other loans - total|IND2 Households and NPISH (S.14+S.15) - consumer credit - total|IND3 Households and NPISH (S.14+S.15) - consumer credit - floating rate and up to 1 year rate fixation|IND4 Households and NPISH (S.14+S.15) - consumer credit - over 1 and up to 5 years rate fixation|IND5 Households and NPISH (S.14+S.15) - consumer credit - over 5 years rate fixation|IND6 Households and NPISH (S.14+S.15) - for house purchase - total|IND7 Households and NPISH (S.14+S.15) - for house purchase - floating rate and up to 1 year rate fixation|IND8 Households and NPISH (S.14+S.15) - for house purchase - over 1 and up to 5 years rate fixation|IND9 Households and NPISH (S.14+S.15) - for house purchase - over 5 and up to 10 years rate fixation|IND10 Households and NPISH (S.14+S.15) - for house purchase - over 10 years rate fixation|IND11 Households and NPISH (S.14+S.15) - other loans - total
30.11.2018|46136.4|10367.4|572.5|2147.8|7647.1|32209.8|1325.9|15396.8|13722.0|1765.1|3559.2
31.10.2018|51305.0|10564.2|591.7|2351.6|7620.8|36830.0|1253.6|17819.5|15437.3|2319.6|3910.8
30.9.2018|44690.2|8762.8|499.6|1932.6|6330.6|32292.2|1376.2|16211.7|12482.9|2221.4|3635.3
31.8.2018|44112.0|9874.4|567.5|2171.1|7135.8|30893.8|1466.2|16260.5|10896.3|2270.7|3343.8
31.7.2018|38681.7|9177.0|480.2|1977.8|6718.9|26461.1|1317.4|14339.3|8769.3|2035.1|3043.5
30.6.2018|46673.6|10384.5|587.6|2321.2|7475.7|31863.8|1370.2|17017.6|11065.3|2410.6|4425.4
31.5.2018|45508.9|11385.5|610.4|2461.3|8313.8|29985.3|1258.8|16601.2|10212.4|1912.9|4138.2
30.4.2018|42589.1|10052.2|563.4|2105.0|7383.8|28654.0|1159.9|15340.1|10514.4|1639.7|3882.8
31.3.2018|44366.9|10113.6|515.5|2096.9|7501.1|30539.9|1093.2|16185.3|11583.0|1678.3|3713.5
28.2.2018|37859.7|8895.7|484.6|1786.0|6625.1|25476.7|782.5|13372.4|9881.5|1440.3|3487.3
31.1.2018|40854.6|9047.0|524.0|1878.1|6644.9|28502.6|996.3|15495.3|10282.6|1728.4|3305.1
31.12.2017|43329.9|8323.0|551.9|1719.1|6052.0|29965.3|841.4|16630.5|10776.8|1716.7|5041.6
30.11.2017|45505.9|11134.4|621.1|2121.3|8392.0|30832.9|878.0|18431.4|9620.3|1903.2|3538.6
31.10.2017|42290.5|10548.8|559.1|2077.6|7912.1|28114.8|891.0|17694.7|7926.7|1602.4|3626.9
30.9.2017|39173.9|9372.0|562.3|1969.5|6840.2|26472.8|933.3|16520.8|7745.3|1273.4|3329.1
31.8.2017|41837.2|10232.0|604.6|2146.2|7481.2|27798.3|988.8|18077.4|7364.3|1367.8|3806.9
31.7.2017|35355.8|9210.7|522.1|2106.6|6582.0|22695.2|823.4|15067.8|5692.9|1111.2|3449.8
30.6.2017|49506.5|10791.5|900.6|2464.6|7426.3|33595.6|1212.0|22705.4|8135.4|1542.8|5119.4
31.5.2017|48528.4|11350.8|538.9|2364.3|8447.6|32237.5|1211.1|21651.9|8057.9|1316.5|4940.1
30.4.2017|40580.9|9171.6|412.8|1959.0|6799.8|27602.4|1217.0|17960.4|7347.2|1077.8|3806.9
31.3.2017|47495.9|11134.0|395.5|2331.7|8406.8|31896.8|1333.1|19778.5|9415.0|1370.3|4465.1
28.2.2017|39604.4|9064.1|300.8|1834.3|6929.1|27364.9|1174.2|15328.9|9531.0|1330.7|3175.4
31.1.2017|39011.9|7779.9|328.7|1672.1|5779.2|27784.7|1275.3|15096.4|9956.1|1456.9|3447.3
31.12.2016|38563.0|7914.4|295.2|1765.7|5853.5|26614.9|1118.8|13847.3|10389.5|1259.3|4033.7
30.11.2016|54233.6|10070.0|297.3|2138.9|7633.9|40489.0|2007.0|18607.2|17652.8|2222.1|3674.6
