Date|IND1 Residents-loans to households (incl. NPISHs) total - non-performing|IND2 consumer credit to households incl.debit balances on current account total - non-performing|IND3 of which: debit balances on current accounts total - non-performing|IND4               receivables from payment cards total - non-performing|IND5                consumer credit total - non-performing|IND6 lending to households for house purchase total - non-performing|IND7 of which: mortgage loans to households for house purchase total - non-performing|IND8             standard credit from construction savings total - non-performing|IND9             bridging credit from construction savings total - non-performing|IND10             consumer credit on real estate total - non-performing|IND11 other lending to households total - non-performing
30.11.2018|35500.3|12520.9|965.4|1879.4|9676.2|19547.0|13313.1|541.7|3912.4|1779.8|1047.5
31.10.2018|35588.1|12307.0|945.1|1964.1|9397.7|19844.0|13627.5|539.9|3910.4|1766.2|1068.5
30.9.2018|36991.6|12925.1|889.8|2003.3|10032.1|20485.4|14159.4|554.2|3937.5|1834.3|1121.8
31.8.2018|36981.0|12846.6|907.5|2011.3|9927.8|20414.3|14001.4|547.6|3989.7|1875.6|1185.0
31.7.2018|37078.1|12829.0|916.6|2043.3|9869.1|20455.1|14162.7|548.1|3846.1|1898.1|1184.1
30.6.2018|37555.9|12913.3|926.3|2076.8|9910.3|20770.3|14377.2|542.5|3847.9|2002.8|1213.5
31.5.2018|37831.5|12897.8|938.4|2113.3|9846.2|20925.5|14450.7|539.4|3899.5|2035.9|1225.0
30.4.2018|38459.8|13219.4|970.8|2135.9|10112.7|21275.1|14840.0|538.2|3826.5|2070.5|1189.6
31.3.2018|38780.5|13315.6|979.1|2163.8|10172.6|21541.1|15085.8|536.6|3820.2|2098.5|1217.5
28.2.2018|39853.5|13739.0|951.7|2340.3|10447.1|22135.4|15622.7|536.2|3831.5|2145.1|1281.7
31.1.2018|40097.9|13982.9|987.7|2380.2|10615.1|22099.2|15565.4|528.8|3843.6|2161.5|1299.7
31.12.2017|38142.4|13756.8|829.8|2456.2|10470.8|20292.8|14490.8|440.9|3250.3|2110.9|1284.7
30.11.2017|35975.3|13842.6|828.8|2478.3|10535.5|17954.8|12453.6|440.8|2856.9|2203.5|1352.5
31.10.2017|36721.3|14122.9|840.8|2587.6|10694.5|18386.8|12742.3|449.0|2905.5|2290.0|1389.6
30.9.2017|36981.8|14104.9|836.8|2599.4|10668.8|18660.5|12975.3|460.1|2928.4|2296.7|1407.6
31.8.2017|39625.4|16597.2|850.3|3622.6|12124.3|18817.6|13141.6|452.4|2873.7|2349.9|1408.9
31.7.2017|39900.6|16587.5|851.4|3645.9|12090.1|19140.2|13487.3|456.4|2867.1|2329.4|1425.4
30.6.2017|40049.0|16573.8|839.8|3675.7|12058.4|19261.6|13630.6|456.3|2822.4|2352.3|1438.8
31.5.2017|41079.5|16958.4|860.2|3662.2|12436.0|19779.7|13983.1|462.3|2854.6|2479.7|1487.7
30.4.2017|41556.1|17314.0|1089.8|3846.0|12378.2|20070.3|14245.4|463.5|2853.9|2507.4|1304.3
31.3.2017|41941.8|17351.1|1201.7|3840.4|12309.0|20381.3|14519.1|469.3|2860.8|2532.2|1336.5
28.2.2017|44562.2|19354.7|1284.2|3969.8|14100.7|20698.6|14776.1|469.3|2828.9|2624.2|1352.7
31.1.2017|44859.3|19307.2|1299.5|3976.3|14031.3|20899.0|15057.6|470.9|2787.8|2582.8|1384.0
31.12.2016|45450.5|19647.7|1300.2|4097.0|14250.5|21126.7|15284.3|474.1|2737.1|2631.1|1377.4
30.11.2016|45948.1|19871.8|1288.8|4152.3|14430.7|21365.4|15502.8|473.8|2712.5|2676.3|1367.3
