Date|IND1 Residents-loans to households (incl. NPISHs) total|IND2 consumer credit to households incl.debit balances on current account total|IND3 of which: debit balances on current accounts total|IND4               receivables from payment cards total|IND5               consumer credit total|IND6 lending to households for house purchase total|IND7 of which: mortgage loans to households for house purchase total|IND8               standard credit from construction savings total|IND9               bridging credit from construction savings total|IND10               consumer credit on real estate total|IND11 other lending to households total
30.11.2018|1640996.6|244042.0|9698.8|19158.0|215185.1|1239878.5|1125155.5|21606.1|63286.0|29830.9|62001.9
31.10.2018|1629409.0|242676.4|9855.9|19095.0|213725.4|1229900.5|1114857.4|21605.3|62973.9|30463.9|61872.0
30.9.2018|1615429.5|240620.8|9574.3|18727.0|212319.6|1218464.3|1103339.7|21607.9|62468.3|31048.5|61744.2
31.8.2018|1606235.1|239939.1|9581.1|19297.4|211060.6|1210030.0|1094773.7|21649.8|62174.3|31432.2|61927.2
31.7.2018|1594145.6|238329.4|9432.0|19531.1|209366.4|1200267.0|1085284.1|21710.6|61647.8|31624.5|61354.5
30.6.2018|1584155.5|236476.7|9253.8|19257.8|207965.1|1192559.0|1077494.4|21570.6|61445.0|32049.0|61283.3
31.5.2018|1572211.9|235022.2|9381.7|19682.5|205958.0|1183030.5|1068620.7|21618.2|60872.8|31918.8|60986.2
30.4.2018|1560309.8|232547.7|9114.4|19643.1|203790.2|1174421.8|1060342.2|21560.4|60676.0|31843.1|60569.4
31.3.2018|1550973.2|231341.1|9711.0|19560.6|202069.5|1166874.8|1053366.7|21568.4|60487.3|31452.5|60287.2
28.2.2018|1541705.9|229803.6|9498.3|19848.5|200456.8|1159613.7|1046536.2|21516.3|60408.0|31153.2|59859.8
31.1.2018|1535756.7|229546.6|9903.5|20348.7|199294.5|1154141.5|1041330.7|21616.7|60229.8|30964.3|59466.8
31.12.2017|1529884.9|229995.9|9930.9|21540.2|198524.8|1148082.7|1035576.1|21481.4|60365.8|30659.4|58934.9
30.11.2017|1521689.2|229273.0|9945.9|21411.8|197915.2|1141397.9|1029236.3|21616.8|60227.9|30316.8|58456.6
31.10.2017|1511042.7|227342.0|10064.4|21194.7|196083.0|1133018.2|1021030.9|21661.4|60143.3|30182.6|58227.9
30.9.2017|1500800.0|225658.3|9834.3|21270.7|194553.3|1125040.7|1013578.0|21670.0|59927.7|29864.9|58378.8
31.8.2017|1494187.2|227111.2|9868.4|22522.1|194720.6|1117572.0|1004582.2|21770.5|59667.6|31551.7|58329.6
31.7.2017|1482906.8|225583.3|9886.9|22586.7|193109.6|1108103.3|995459.1|21864.4|59287.7|31492.0|58387.5
30.6.2017|1473837.2|224205.1|9670.1|22548.7|191986.3|1101360.1|988747.4|21922.9|59168.4|31521.3|57976.8
31.5.2017|1461944.1|223217.0|9925.7|22694.1|190597.2|1091218.3|979350.7|22084.9|58600.1|31182.6|57937.9
30.4.2017|1449687.5|221136.2|9785.7|22636.5|188713.9|1081542.7|970148.9|22140.2|58185.4|31068.2|57624.2
31.3.2017|1441245.6|221149.6|10713.7|23130.4|187305.5|1074092.7|963050.9|22312.4|57931.8|30797.7|56975.3
28.2.2017|1430642.4|220578.9|10559.7|23122.5|186896.7|1065347.8|954884.6|22433.2|57505.0|30525.1|56159.9
31.1.2017|1424493.9|219972.8|10795.1|23545.1|185632.7|1059292.0|949593.8|22567.5|57240.0|29890.8|56470.2
31.12.2016|1419853.0|220963.0|10925.5|24597.7|185439.8|1053281.7|944104.2|22637.3|57016.9|29523.3|56046.4
30.11.2016|1412112.1|220031.2|10961.1|24366.3|184703.8|1047396.5|936821.0|22943.2|56797.1|30835.3|55870.9
